timestamp,ip_address,http_status,request_path
2024-01-15 10:00:00,192.168.1.10,200,/favicon.ico
2024-01-15 10:00:08,192.168.1.10,200,/index.html
2024-01-15 10:00:16,192.168.1.10,200,/favicon.ico
2024-01-15 10:00:28,192.168.1.10,200,/static/css/style.css
2024-01-15 10:00:42,192.168.1.10,304,/favicon.ico
2024-01-15 10:00:52,192.168.1.10,304,/index.html
2024-01-15 10:01:04,192.168.1.10,304,/index.html
2024-01-15 10:01:19,10.0.0.5,200,/api/data
2024-01-15 10:01:34,192.168.1.10,304,/api/data
2024-01-15 10:01:42,192.168.1.10,200,/login
2024-01-15 10:01:51,10.0.0.5,200,/static/css/style.css
2024-01-15 10:02:02,10.0.0.5,200,/login
2024-01-15 10:02:10,192.168.1.10,200,/static/js/app.js
2024-01-15 10:02:23,10.0.0.5,200,/index.html
2024-01-15 10:02:31,192.168.1.12,200,/api/data
2024-01-15 10:02:44,192.168.1.10,200,/static/css/style.css
2024-01-15 10:02:49,192.168.1.10,304,/api/users
2024-01-15 10:02:54,192.168.1.10,200,/api/data
2024-01-15 10:03:08,192.168.1.10,200,/dashboard
2024-01-15 10:03:23,192.168.1.10,304,/api/users
2024-01-15 10:03:29,192.168.1.10,304,/static/css/style.css
2024-01-15 10:03:39,192.168.1.10,200,/index.html
2024-01-15 10:03:47,192.168.1.12,200,/dashboard
2024-01-15 10:03:53,192.168.1.10,200,/api/users
2024-01-15 10:04:02,10.0.0.5,200,/favicon.ico
2024-01-15 10:04:11,177.21.55.134,200,/index.html
2024-01-15 10:04:16,10.0.0.5,200,/index.html
2024-01-15 10:04:21,192.168.1.10,200,/api/users
2024-01-15 10:04:35,192.168.1.12,200,/login
2024-01-15 10:04:46,192.168.1.10,304,/favicon.ico
2024-01-15 10:04:58,192.168.1.10,304,/dashboard
2024-01-15 10:05:05,192.168.1.10,200,/login
2024-01-15 10:05:13,10.0.0.5,304,/api/users
2024-01-15 10:05:27,192.168.1.12,200,/favicon.ico
2024-01-15 10:05:38,192.168.1.10,200,/static/css/style.css
2024-01-15 10:05:49,192.168.1.10,200,/dashboard
2024-01-15 10:05:57,192.168.1.12,200,/static/css/style.css
2024-01-15 10:06:11,192.168.1.10,200,/static/js/app.js
2024-01-15 10:06:26,192.168.1.10,200,/static/js/app.js
2024-01-15 10:06:36,10.0.0.5,200,/static/js/app.js
2024-01-15 10:06:50,10.0.0.5,200,/dashboard
2024-01-15 10:07:05,10.0.0.5,304,/index.html
2024-01-15 10:07:15,192.168.1.10,304,/api/users
2024-01-15 10:07:23,192.168.1.10,200,/index.html
2024-01-15 10:07:35,192.168.1.10,200,/dashboard
2024-01-15 10:07:41,10.0.0.5,200,/login
2024-01-15 10:07:56,192.168.1.10,200,/favicon.ico
2024-01-15 10:08:01,192.168.1.10,200,/login
2024-01-15 10:08:13,192.168.1.10,200,/api/data
2024-01-15 10:08:22,192.168.1.10,200,/static/js/app.js
2024-01-15 10:08:28,10.0.0.5,500,/api/data
2024-01-15 10:08:36,192.168.1.10,200,/index.html
2024-01-15 10:08:42,192.168.1.10,200,/dashboard
2024-01-15 10:08:48,192.168.1.10,304,/static/js/app.js
2024-01-15 10:08:53,10.0.0.5,304,/api/data
2024-01-15 10:09:02,192.168.1.10,200,/dashboard
2024-01-15 10:09:07,192.168.1.10,200,/api/data
2024-01-15 10:09:17,192.168.1.10,200,/static/js/app.js
2024-01-15 10:09:28,10.0.0.5,200,/api/users
2024-01-15 10:09:40,192.168.1.10,200,/static/css/style.css
2024-01-15 10:09:54,192.168.1.10,200,/dashboard
2024-01-15 10:10:06,192.168.1.10,200,/static/js/app.js
2024-01-15 10:10:17,192.168.1.10,200,/dashboard
2024-01-15 10:10:29,192.168.1.10,304,/index.html
2024-01-15 10:10:38,192.168.1.10,200,/api/data
2024-01-15 10:10:53,192.168.1.10,200,/api/users
2024-01-15 10:11:02,192.168.1.10,200,/api/data
2024-01-15 10:11:09,192.168.1.10,200,/index.html
